melhor_fitness,fitness_otimo,tempo_execucao,gap_final,geracoes_sem_evolucao,num_ilhas
1397,1373,133,1.748,486,12
1408,1373,124,2.54916,433,12
1430,1373,130,4.15149,966,12
1434,1373,128,4.44283,1056,12
1435,1373,129,4.51566,1116,12
1418,1373,128,3.27749,414,12
1409,1373,127,2.622,569,12
1404,1373,125,2.25783,667,12
1421,1373,125,3.49599,519,12
1432,1373,123,4.29716,438,12
1467,1373,125,6.84632,568,12
1414,1373,122,2.98616,487,12
1358,1373,127,1.0925,465,12
1426,1373,124,3.86016,311,12
1433,1373,124,4.36999,637,12
1416,1373,126,3.13183,414,12
1440,1373,131,4.87983,1515,12
1416,1373,126,3.13183,343,12
1430,1373,128,4.15149,284,12
1390,1373,130,1.23816,631,12
