melhor_fitness,fitness_otimo,tempo_execucao,gap_final,geracoes_sem_evolucao,num_ilhas
1420,1373,166,3.42316,928,8
1417,1373,169,3.20466,502,8
1403,1373,164,2.185,448,8
1442,1373,160,5.02549,1134,8
1417,1373,156,3.20466,546,8
1420,1373,174,3.42316,1215,8
1425,1373,158,3.78733,1223,8
1409,1373,158,2.622,563,8
1403,1373,158,2.185,1046,8
1396,1373,158,1.67516,748,8
1407,1373,159,2.47633,691,8
1417,1373,159,3.20466,1144,8
1418,1373,170,3.27749,985,8
1399,1373,159,1.89366,526,8
1401,1373,160,2.03933,673,8
1422,1373,159,3.56883,373,8
1428,1373,158,4.00583,759,8
1387,1373,159,1.01966,584,8
1422,1373,160,3.56883,483,8
1433,1373,160,4.36999,425,8
1397,1373,133,1.748,486,12
1408,1373,124,2.54916,433,12
1430,1373,130,4.15149,966,12
1434,1373,128,4.44283,1056,12
1435,1373,129,4.51566,1116,12
1418,1373,128,3.27749,414,12
1409,1373,127,2.622,569,12
1404,1373,125,2.25783,667,12
1421,1373,125,3.49599,519,12
1432,1373,123,4.29716,438,12
1467,1373,125,6.84632,568,12
1414,1373,122,2.98616,487,12
1358,1373,127,1.0925,465,12
1426,1373,124,3.86016,311,12
1433,1373,124,4.36999,637,12
1416,1373,126,3.13183,414,12
1440,1373,131,4.87983,1515,12
1416,1373,126,3.13183,343,12
1430,1373,128,4.15149,284,12
1390,1373,130,1.23816,631,12
1429,1373,171,4.07866,576,16
1427,1373,160,3.93299,646,16
1420,1373,164,3.42316,369,16
1383,1373,160,0.728332,404,16
1402,1373,161,2.11216,577,16
1443,1373,164,5.09832,833,16
1414,1373,164,2.98616,717,16
1373,1373,162,0.0,774,16
1364,1373,156,0.655499,729,16
1402,1373,155,2.11216,235,16
1423,1373,154,3.64166,347,16
1417,1373,162,3.20466,298,16
1412,1373,149,2.8405,645,16
1422,1373,162,3.56883,1516,16
1434,1373,163,4.44283,839,16
1426,1373,173,3.86016,643,16
1392,1373,172,1.38383,998,16
1438,1373,167,4.73416,1130,16
1388,1373,172,1.0925,638,16
1439,1373,165,4.80699,885,16
